variable,binning,score
LIMIT_BAL,[-inf ~ 50000.0),-4.09
LIMIT_BAL,[50000.0 ~ 60000.0),18.39
LIMIT_BAL,[60000.0 ~ 80000.0),11.35
LIMIT_BAL,[80000.0 ~ 110000.0),22.82
LIMIT_BAL,[110000.0 ~ 150000.0),29.72
LIMIT_BAL,[150000.0 ~ 230000.0),41.59
LIMIT_BAL,[230000.0 ~ 370000.0),49.09
LIMIT_BAL,[370000.0 ~ inf),61.47
EDUCATION,[-inf ~ 2),28.49
EDUCATION,[2 ~ inf),27.82
AGE,[-inf ~ 26),16.3
AGE,[26 ~ 29),32.57
AGE,[29 ~ 34),36.98
AGE,[34 ~ 46),29.35
AGE,[46 ~ inf),20.97
PAY_0,[-inf ~ 1),75.26
PAY_0,[1 ~ 2),-19.87
PAY_0,[2 ~ inf),-137.67
PAY_2,[-inf ~ 2),32.36
PAY_2,[2 ~ inf),11.39
PAY_3,[-inf ~ 2),34.74
PAY_3,[2 ~ inf),-0.04
PAY_4,[-inf ~ 1),31.95
PAY_4,[1 ~ inf),6.97
PAY_5,[-inf ~ 2),33.78
PAY_5,[2 ~ inf),-7.59
PAY_6,[-inf ~ 2),32.76
PAY_6,[2 ~ inf),-0.1
BILL_AMT1,[-inf ~ 2501.0),22.44
BILL_AMT1,[2501.0 ~ inf),29.65
BILL_AMT2,[-inf ~ 2400.0),27.69
BILL_AMT2,[2400.0 ~ 8287.0),25.03
BILL_AMT2,[8287.0 ~ 35213.0),35.3
BILL_AMT2,[35213.0 ~ inf),23.97
BILL_AMT3,[-inf ~ 2400.0),27.6
BILL_AMT3,[2400.0 ~ 7458.0),14.93
BILL_AMT3,[7458.0 ~ 81890.0),35.58
BILL_AMT3,[81890.0 ~ inf),13.59
BILL_AMT4,[-inf ~ 2501.0),27.99
BILL_AMT4,[2501.0 ~ inf),28.06
BILL_AMT5,[-inf ~ 2395.0),28.15
BILL_AMT5,[2395.0 ~ 8110.0),32.0
BILL_AMT5,[8110.0 ~ 35288.0),25.72
BILL_AMT5,[35288.0 ~ inf),29.18
BILL_AMT6,[-inf ~ 19195.0),27.22
BILL_AMT6,[19195.0 ~ 50442.0),31.96
BILL_AMT6,[50442.0 ~ inf),25.93
PAY_AMT1,[-inf ~ 6.0),11.4
PAY_AMT1,[6.0 ~ 4902.0),28.27
PAY_AMT1,[4902.0 ~ inf),42.76
PAY_AMT2,[-inf ~ 92.0),13.0
PAY_AMT2,[92.0 ~ 1603.0),24.62
PAY_AMT2,[1603.0 ~ 4520.0),30.17
PAY_AMT2,[4520.0 ~ 15002.0),39.31
PAY_AMT2,[15002.0 ~ inf),57.84
PAY_AMT3,[-inf ~ 1.0),16.62
PAY_AMT3,[1.0 ~ 2921.0),27.67
PAY_AMT3,[2921.0 ~ inf),36.77
PAY_AMT4,[-inf ~ 1.0),19.58
PAY_AMT4,[1.0 ~ 1506.0),26.99
PAY_AMT4,[1506.0 ~ 3946.0),30.04
PAY_AMT4,[3946.0 ~ inf),36.57
PAY_AMT5,[-inf ~ 1.0),22.75
PAY_AMT5,[1.0 ~ 1880.0),26.83
PAY_AMT5,[1880.0 ~ 10000.0),30.75
PAY_AMT5,[10000.0 ~ inf),38.13
PAY_AMT6,[-inf ~ 28.0),20.93
PAY_AMT6,[28.0 ~ 480.0),27.69
PAY_AMT6,[480.0 ~ 926.0),22.71
PAY_AMT6,[926.0 ~ 1078.0),30.52
PAY_AMT6,[1078.0 ~ 1501.0),23.24
PAY_AMT6,[1501.0 ~ 4060.0),29.75
PAY_AMT6,[4060.0 ~ 9567.0),36.15
PAY_AMT6,[9567.0 ~ inf),42.44
